TILENAME,PATH,RA_CENT,DEC_CENT,SHEARCAT_PATH,TAG 
DES0948-0207,DEC_Taiga/multiepoch/delve/r5918/DES0948-0207/p01/coadd,147.173589,-2.125037,2,DR3_1_1_original
DES0752+0543,DEC_Taiga/multiepoch/delve/r5918/DES0752+0543/p01/coadd,118.044332,5.727741,2,DR3_1_1_original
DES0947+1000,DEC_Taiga/multiepoch/delve/r5918/DES0947+1000/p01/coadd,146.976542,10.011074,2,DR3_1_1_original
DES0918+0335,DEC_Taiga/multiepoch/delve/r5918/DES0918+0335/p01/coadd,139.600935,3.586074,2,DR3_1_1_original
DES0738+2417,DEC_Taiga/multiepoch/delve/r5918/DES0738+2417/p02/coadd,114.720336,24.288852,2,DR3_1_1_original
DES1143-1915,DEC_Taiga/multiepoch/delve/r5918/DES1143-1915/p01/coadd,175.890881,-19.25837,2,DR3_1_1_original
DES1141+0709,DEC_Taiga/multiepoch/delve/r6235/DES1141+0709/p01/coadd,175.456346,7.155519,2,DR3_1_1_original
DES1035+1209,DEC_Taiga/multiepoch/delve/r5918/DES1035+1209/p01/coadd,158.904899,12.152741,2,DR3_1_1_original
DES1059+0126,DEC_Taiga/multiepoch/delve/r5918/DES1059+0126/p01/coadd,164.94057,1.444407,2,DR3_1_1_original
DES1113-0041,DEC_Taiga/multiepoch/delve/r6235/DES1113-0041/p01/coadd,168.449358,-0.697259,2,DR3_1_1_original
DES1113+1709,DEC_Taiga/multiepoch/delve/r5918/DES1113+1709/p01/coadd,168.269742,17.149963,2,DR3_1_1_original
DES1033+2043,DEC_Taiga/multiepoch/delve/r5918/DES1033+2043/p01/coadd,158.477755,20.719407,2,DR3_1_1_original
DES1104+2625,DEC_Taiga/multiepoch/delve/r6101/DES1104+2625/p01/coadd,166.123883,26.430519,2,DR3_1_1_original
DES0919+0126,DEC_Taiga/multiepoch/delve/r5918/DES0919+0126/p01/coadd,139.946517,1.444407,2,DR3_1_1_original
DES1133+2625,DEC_Taiga/multiepoch/delve/r5918/DES1133+2625/p01/coadd,173.29885,26.430519,2,DR3_1_1_original
DES1058-1415,DEC_Taiga/multiepoch/delve/r5918/DES1058-1415/p01/coadd,164.703442,-14.261148,2,DR3_1_1_original
DES1027+0543,DEC_Taiga/multiepoch/delve/r5918/DES1027+0543/p01/coadd,156.787766,5.727741,2,DR3_1_1_original
DES1026-1415,DEC_Taiga/multiepoch/delve/r5918/DES1026-1415/p01/coadd,156.600972,-14.261148,2,DR3_1_1_original
DES1132+1751,DEC_Taiga/multiepoch/delve/r5918/DES1132+1751/p01/coadd,173.017366,17.863852,2,DR3_1_1_original
DES1032-2124,DEC_Taiga/multiepoch/delve/r5918/DES1032-2124/p01/coadd,158.060416,-21.400037,2,DR3_1_1_original
DES0848+0500,DEC_Taiga/multiepoch/delve/r6101/DES0848+0500/p01/coadd,132.139244,5.013852,2,DR3_1_1_original
DES0928+0001,DEC_Taiga/multiepoch/delve/r5918/DES0928+0001/p01/coadd,142.016713,0.01663,2,DR3_1_1_original
DES0817+2126,DEC_Taiga/multiepoch/delve/r5918/DES0817+2126/p04/coadd,124.3711,21.433296,2,DR3_1_1_original
DES0858+2000,DEC_Taiga/multiepoch/delve/r5918/DES0858+2000/p01/coadd,134.562443,20.005519,2,DR3_1_1_original
DES0831-1332,DEC_Taiga/multiepoch/delve/r6235/DES0831-1332/p01/coadd,127.952759,-13.547259,2,DR3_1_1_original
DES0902+0001,DEC_Taiga/multiepoch/delve/r6101/DES0902+0001/p01/coadd,135.591713,0.01663,2,DR3_1_1_original
DES0754+1209,DEC_Taiga/multiepoch/delve/r5918/DES0754+1209/p01/coadd,118.740925,12.152741,2,DR3_1_1_original
DES0852-1707,DEC_Taiga/multiepoch/delve/r5918/DES0852-1707/p02/coadd,133.116531,-17.116704,2,DR3_1_1_original
DES1036-2041,DEC_Taiga/multiepoch/delve/r5918/DES1036-2041/p01/coadd,159.187313,-20.686148,2,DR3_1_1_original
DES1124+2917,DEC_Taiga/multiepoch/delve/r5918/DES1124+2917/p01/coadd,171.191659,29.286074,2,DR3_1_1_original
DES0826+0252,DEC_Taiga/multiepoch/delve/r5918/DES0826+0252/p01/coadd,126.576938,2.872185,2,DR3_1_1_original
DES0854+1126,DEC_Taiga/multiepoch/delve/r5918/DES0854+1126/p02/coadd,133.506952,11.438852,2,DR3_1_1_original
DES0940-0250,DEC_Taiga/multiepoch/delve/r5918/DES0940-0250/p01/coadd,145.154716,-2.838926,2,DR3_1_1_original
DES0938+2625,DEC_Taiga/multiepoch/delve/r5918/DES0938+2625/p01/coadd,144.598983,26.430519,2,DR3_1_1_original
DES0921+1334,DEC_Taiga/multiepoch/delve/r5918/DES0921+1334/p01/coadd,140.467839,13.580519,2,DR3_1_1_original
DES0922-1958,DEC_Taiga/multiepoch/delve/r5918/DES0922-1958/p01/coadd,140.59255,-19.972259,2,DR3_1_1_original
DES1004+2543,DEC_Taiga/multiepoch/delve/r5918/DES1004+2543/p01/coadd,151.127119,25.71663,2,DR3_1_1_original
DES1041+2708,DEC_Taiga/multiepoch/delve/r5918/DES1041+2708/p01/coadd,160.488324,27.144407,2,DR3_1_1_original
DES0747+1043,DEC_Taiga/multiepoch/delve/r5918/DES0747+1043/p01/coadd,116.989564,10.724963,2,DR3_1_1_original
DES1015+0335,DEC_Taiga/multiepoch/delve/r6101/DES1015+0335/p01/coadd,153.906724,3.586074,2,DR3_1_1_original
DES0936-1415,DEC_Taiga/multiepoch/delve/r5918/DES0936-1415/p01/coadd,144.078972,-14.261148,2,DR3_1_1_original
DES1013-0416,DEC_Taiga/multiepoch/delve/r5918/DES1013-0416/p01/coadd,153.385702,-4.266704,2,DR3_1_1_original
DES0722+1709,DEC_Taiga/multiepoch/delve/r5918/DES0722+1709/p03/coadd,110.742405,17.149963,2,DR3_1_1_original
DES0730+1334,DEC_Taiga/multiepoch/delve/r5918/DES0730+1334/p01/coadd,112.559772,13.580519,2,DR3_1_1_original
DES1041+2334,DEC_Taiga/multiepoch/delve/r5918/DES1041+2334/p01/coadd,160.35284,23.574963,2,DR3_1_1_original
DES0957+1252,DEC_Taiga/multiepoch/delve/r5918/DES0957+1252/p01/coadd,149.328249,12.86663,2,DR3_1_1_original
